application_id,application_name,business_owner,technology_owner,criticality,data_classification,regulatory_scope,audit_year,last_control_test_date,evidence_submitted,evidence_submission_date,access_review_completed,access_review_date,privileged_access_count,privileged_access_approved,mfa_enabled,encryption_at_rest,backup_enabled,dr_test_completed,dr_test_date,vulnerability_status,open_high_vulnerabilities,policy_exception,exception_expiry_date,app_status,source_system
APP-500,Payments Core,,,Medium,Restricted,SOX,2026,02-02-2026,No,,Yes,06-24-2026,0,No,No,No,No,No,,Critical Open,2,No,,Active,GRC_PORTAL
APP-501,AML Case Manager,Vikram Rao,,Medium,Confidential,Internal Audit,2026,04-23-2026,No,,No,,2,No,No,No,No,Yes,01-24-2026,No Critical Open,0,No,,Active,ACCESS_REVIEW
APP-502,Customer Portal,,,High,Restricted,SOX,2026,02-10-2026,No,,No,,2,No,No,No,No,No,,Critical Open,2,No,,Active,GRC_PORTAL
APP-503,Loan Origination,,,High,Confidential,Internal Audit,2026,01-11-2026,No,,No,,1,No,No,No,No,Yes,06-22-2026,No Critical Open,0,Yes,05-18-2026,Active,CMDB
APP-504,Trade Finance,,,Critical,Public,SEBI,2026,02-23-2026,No,,Yes,01-05-2026,2,No,No,No,No,Yes,05-12-2026,Critical Open,2,No,,Active,CMDB
APP-505,Reporting Engine,Pooja Nair,,High,Public,SEBI,2026,03-25-2026,No,,No,,0,No,No,Yes,No,No,,Critical Open,5,No,,Active,CMDB
APP-506,Identity Service,Sunil Verma,,Critical,Confidential,SOX,2026,06-25-2026,No,,Yes,06-01-2026,3,Yes,No,No,No,No,,Critical Open,1,No,,Active,CMDB
APP-507,Notification Hub,Neha Singh,,Medium,Internal,SEBI,2026,06-21-2026,Yes,04-10-2026,No,,1,No,No,Yes,No,No,,Critical Open,1,Yes,08-09-2026,Active,GRC_PORTAL
APP-508,Data Lake,,Ravi Kumar,High,Public,RBI,2026,02-05-2026,Yes,06-04-2026,No,,0,No,No,Yes,No,No,,Critical Open,3,Yes,05-02-2026,Active,CMDB
APP-509,Customer Onboarding,,Arjun Patel,Critical,Restricted,SOX,2026,04-01-2026,No,,Yes,05-05-2026,2,No,No,No,No,No,,Critical Open,1,No,,Active,ACCESS_REVIEW
APP-510,Risk Scoring Engine,,,High,Internal,SOX,2026,06-12-2026,No,,No,,2,No,Yes,No,No,Yes,05-23-2026,Critical Open,4,No,,Active,ACCESS_REVIEW
APP-511,Collections Platform,,,Critical,Confidential,SOX,2026,01-14-2026,No,,No,,0,No,No,No,No,No,,Critical Open,1,No,,Active,ACCESS_REVIEW
APP-512,Card Issuance,,,Critical,Confidential,SOX,2026,04-24-2026,Yes,03-27-2026,No,,0,No,No,No,No,Yes,04-20-2026,No Critical Open,0,No,,Active,CMDB
APP-513,Treasury Ops,,Arjun Patel,Low,Internal,Internal Audit,2026,06-06-2026,No,,No,,3,No,No,No,No,No,,Critical Open,3,Yes,06-25-2026,Active,GRC_PORTAL
APP-514,KYC Verification,,Farhan Sheikh,High,Confidential,SOX,2026,03-17-2026,No,,Yes,05-08-2026,1,Yes,No,No,No,No,,Critical Open,2,Yes,10-18-2026,Active,CMDB
APP-515,Regulatory Filing Hub,,,Critical,Confidential,None,2026,05-11-2026,No,,No,,1,No,No,No,No,No,,No Critical Open,0,Yes,04-14-2026,Active,ACCESS_REVIEW
APP-516,Wealth Advisory,,,Critical,Confidential,RBI,2026,03-28-2026,No,,No,,1,No,Yes,No,No,No,,Critical Open,2,Yes,03-12-2026,Active,GRC_PORTAL
APP-517,Insurance Claims,,,High,Restricted,SOX,2026,05-24-2026,No,,No,,3,No,No,No,Yes,No,,Critical Open,5,No,,Active,ACCESS_REVIEW
APP-518,Merchant Gateway,,,Critical,Internal,Internal Audit,2026,06-06-2026,No,,No,,0,No,No,No,No,No,,Critical Open,4,No,,Active,CMDB
APP-519,Fraud Detection,,Sunita Rao,Critical,Confidential,Internal Audit,2026,01-16-2026,Yes,02-20-2026,Yes,02-26-2026,2,No,No,No,No,No,,Critical Open,4,Yes,04-02-2026,Active,ACCESS_REVIEW
APP-520,General Ledger,,,Critical,Restricted,RBI,2026,06-04-2026,No,,No,,1,No,No,No,No,No,,Critical Open,2,No,,Active,CMDB
APP-521,Branch Banking App,,,High,Confidential,SOX,2026,04-12-2026,No,,No,,0,No,Yes,No,No,No,,No Critical Open,0,Yes,02-20-2026,Active,GRC_PORTAL
APP-522,Mobile Banking,Deepa Iyer,,Critical,Public,RBI,2026,06-15-2026,No,,Yes,01-05-2026,1,No,No,No,No,No,,Critical Open,2,No,,Active,ACCESS_REVIEW
APP-523,Internet Banking,,,High,Restricted,None,2026,02-07-2026,Yes,05-22-2026,No,,2,No,No,No,Yes,No,,No Critical Open,0,No,,Active,CMDB
