report_id,report_name,application_id,report_type,regulatory_body,report_owner_team,consumers,refresh_frequency,last_generated_at,report_status,data_fields_used
RPT-SOX-QCERT,SOX Quarterly Controls Certification,APP-001,Regulatory Filing,SOX,SOX Compliance Office,Board Audit Committee; External Auditors (PwC),Quarterly,2026-06-30,Active,application_id;criticality;evidence_submitted;access_review_completed;mfa_enabled
RPT-SOX-QCERT,SOX Quarterly Controls Certification,APP-005,Regulatory Filing,SOX,SOX Compliance Office,Board Audit Committee; External Auditors (PwC),Quarterly,2026-06-30,Active,application_id;criticality;evidence_submitted;access_review_completed;mfa_enabled
RPT-SOX-QCERT,SOX Quarterly Controls Certification,APP-011,Regulatory Filing,SOX,SOX Compliance Office,Board Audit Committee; External Auditors (PwC),Quarterly,2026-06-30,Active,application_id;criticality;evidence_submitted;access_review_completed;mfa_enabled
RPT-SOX-QCERT,SOX Quarterly Controls Certification,APP-013,Regulatory Filing,SOX,SOX Compliance Office,Board Audit Committee; External Auditors (PwC),Quarterly,2026-06-30,Active,application_id;criticality;evidence_submitted;access_review_completed;mfa_enabled
RPT-SOX-QCERT,SOX Quarterly Controls Certification,APP-016,Regulatory Filing,SOX,SOX Compliance Office,Board Audit Committee; External Auditors (PwC),Quarterly,2026-06-30,Active,application_id;criticality;evidence_submitted;access_review_completed;mfa_enabled
RPT-SOX-QCERT,SOX Quarterly Controls Certification,APP-028,Regulatory Filing,SOX,SOX Compliance Office,Board Audit Committee; External Auditors (PwC),Quarterly,2026-06-30,Active,application_id;criticality;evidence_submitted;access_review_completed;mfa_enabled
RPT-SOX-QCERT,SOX Quarterly Controls Certification,APP-071,Regulatory Filing,SOX,SOX Compliance Office,Board Audit Committee; External Auditors (PwC),Quarterly,2026-06-30,Active,application_id;criticality;evidence_submitted;access_review_completed;mfa_enabled
RPT-RBI-AML,RBI AML Case Oversight Report,APP-002,Regulatory Filing,RBI,RBI Reporting Team,RBI Examiner Liaison; Chief Compliance Officer,Monthly,2026-07-01,Active,application_id;access_review_completed;privileged_access_count;privileged_access_approved
RPT-RBI-AML,RBI AML Case Oversight Report,APP-010,Regulatory Filing,RBI,RBI Reporting Team,RBI Examiner Liaison; Chief Compliance Officer,Monthly,2026-07-01,Active,application_id;access_review_completed;privileged_access_count;privileged_access_approved
RPT-RBI-AML,RBI AML Case Oversight Report,APP-020,Regulatory Filing,RBI,RBI Reporting Team,RBI Examiner Liaison; Chief Compliance Officer,Monthly,2026-07-01,Active,application_id;access_review_completed;privileged_access_count;privileged_access_approved
RPT-RBI-AML,RBI AML Case Oversight Report,APP-026,Regulatory Filing,RBI,RBI Reporting Team,RBI Examiner Liaison; Chief Compliance Officer,Monthly,2026-07-01,Active,application_id;access_review_completed;privileged_access_count;privileged_access_approved
RPT-RBI-AML,RBI AML Case Oversight Report,APP-035,Regulatory Filing,RBI,RBI Reporting Team,RBI Examiner Liaison; Chief Compliance Officer,Monthly,2026-07-01,Active,application_id;access_review_completed;privileged_access_count;privileged_access_approved
RPT-RBI-AML,RBI AML Case Oversight Report,APP-075,Regulatory Filing,RBI,RBI Reporting Team,RBI Examiner Liaison; Chief Compliance Officer,Monthly,2026-07-01,Active,application_id;access_review_completed;privileged_access_count;privileged_access_approved
RPT-SEBI-LOAN,SEBI Loan Book Integrity Report,APP-004,Regulatory Filing,SEBI,SEBI Reporting Cell,SEBI Compliance Desk,Quarterly,2026-06-30,Active,application_id;criticality;data_classification
RPT-SEBI-LOAN,SEBI Loan Book Integrity Report,APP-012,Regulatory Filing,SEBI,SEBI Reporting Cell,SEBI Compliance Desk,Quarterly,2026-06-30,Active,application_id;criticality;data_classification;business_owner;technology_owner
RPT-SEBI-LOAN,SEBI Loan Book Integrity Report,APP-025,Regulatory Filing,SEBI,SEBI Reporting Cell,SEBI Compliance Desk,Quarterly,2026-06-30,Active,application_id;criticality;data_classification
RPT-SEBI-LOAN,SEBI Loan Book Integrity Report,APP-054,Regulatory Filing,SEBI,SEBI Reporting Cell,SEBI Compliance Desk,Quarterly,2026-06-30,Active,application_id;criticality;data_classification
RPT-VULN-RISK,Enterprise Vulnerability & Exception Risk Dashboard,APP-015,Risk Dashboard,None,CISO Office,CISO; Risk Committee,Weekly,2026-07-20,Active,application_id;vulnerability_status;open_high_vulnerabilities;policy_exception;exception_expiry_date
RPT-VULN-RISK,Enterprise Vulnerability & Exception Risk Dashboard,APP-017,Risk Dashboard,None,CISO Office,CISO; Risk Committee,Weekly,2026-07-20,Active,application_id;vulnerability_status;open_high_vulnerabilities;policy_exception;exception_expiry_date
RPT-VULN-RISK,Enterprise Vulnerability & Exception Risk Dashboard,APP-018,Risk Dashboard,None,CISO Office,CISO; Risk Committee,Weekly,2026-07-20,Active,application_id;vulnerability_status;open_high_vulnerabilities;policy_exception;exception_expiry_date
RPT-VULN-RISK,Enterprise Vulnerability & Exception Risk Dashboard,APP-030,Risk Dashboard,None,CISO Office,CISO; Risk Committee,Weekly,2026-07-20,Active,application_id;vulnerability_status;open_high_vulnerabilities;policy_exception;exception_expiry_date
RPT-VULN-RISK,Enterprise Vulnerability & Exception Risk Dashboard,APP-032,Risk Dashboard,None,CISO Office,CISO; Risk Committee,Weekly,2026-07-20,Active,application_id;vulnerability_status;open_high_vulnerabilities;policy_exception;exception_expiry_date
RPT-VULN-RISK,Enterprise Vulnerability & Exception Risk Dashboard,APP-033,Risk Dashboard,None,CISO Office,CISO; Risk Committee,Weekly,2026-07-20,Active,application_id;vulnerability_status;open_high_vulnerabilities;policy_exception;exception_expiry_date
RPT-ACCESS-GOV,Privileged Access Governance Report,APP-007,Governance,Internal Audit,IAM Governance Team,Internal Audit; IT Security,Monthly,2026-07-01,Active,application_id;privileged_access_count;privileged_access_approved;access_review_completed
RPT-ACCESS-GOV,Privileged Access Governance Report,APP-009,Governance,Internal Audit,IAM Governance Team,Internal Audit; IT Security,Monthly,2026-07-01,Active,application_id;privileged_access_count;privileged_access_approved;access_review_completed
RPT-ACCESS-GOV,Privileged Access Governance Report,APP-016,Governance,Internal Audit,IAM Governance Team,Internal Audit; IT Security,Monthly,2026-07-01,Active,application_id;privileged_access_count;privileged_access_approved;access_review_completed
RPT-ACCESS-GOV,Privileged Access Governance Report,APP-031,Governance,Internal Audit,IAM Governance Team,Internal Audit; IT Security,Monthly,2026-07-01,Active,application_id;privileged_access_count;privileged_access_approved;access_review_completed
RPT-ACCESS-GOV,Privileged Access Governance Report,APP-041,Governance,Internal Audit,IAM Governance Team,Internal Audit; IT Security,Monthly,2026-07-01,Active,application_id;privileged_access_count;privileged_access_approved;access_review_completed
RPT-ACCESS-GOV,Privileged Access Governance Report,APP-101,Governance,Internal Audit,IAM Governance Team,Internal Audit; IT Security,Monthly,2026-07-01,Active,application_id;privileged_access_count;privileged_access_approved;access_review_completed
RPT-DUPCHECK,Application Master Data Integrity Report,APP-027,Data Governance,None,Enterprise Data Office,Data Governance Council,Weekly,2026-07-20,Active,application_id;application_name;app_status
RPT-DUPCHECK,Application Master Data Integrity Report,APP-034,Data Governance,None,Enterprise Data Office,Data Governance Council,Weekly,2026-07-20,Active,application_id;application_name;business_owner;technology_owner
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-001,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-013,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-020,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-027,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-034,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-041,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-061,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-081,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-101,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-EXEC-SCORECARD,Executive Application Risk Scorecard,APP-121,Executive Dashboard,None,Enterprise Risk Management,CIO; Board Risk Committee,Quarterly,2026-06-30,Active,application_id;criticality;mfa_enabled;encryption_at_rest;backup_enabled
RPT-DATE-QUALITY,Control Testing Timeliness Report,APP-029,Operational,None,Audit PMO,Audit Committee,Monthly,2026-07-01,Active,application_id;last_control_test_date;dr_test_date
RPT-DATE-QUALITY,Control Testing Timeliness Report,APP-071,Operational,None,Audit PMO,Audit Committee,Monthly,2026-07-01,Active,application_id;last_control_test_date;dr_test_date
RPT-DATE-QUALITY,Control Testing Timeliness Report,APP-072,Operational,None,Audit PMO,Audit Committee,Monthly,2026-07-01,Active,application_id;last_control_test_date;dr_test_date
RPT-DATE-QUALITY,Control Testing Timeliness Report,APP-073,Operational,None,Audit PMO,Audit Committee,Monthly,2026-07-01,Active,application_id;last_control_test_date;dr_test_date
RPT-CLEAN-BASELINE,Standard Application Health Report,APP-022,Operational,None,IT Service Management,IT Operations,Weekly,2026-07-20,Active,application_id;app_status;source_system
RPT-CLEAN-BASELINE,Standard Application Health Report,APP-023,Operational,None,IT Service Management,IT Operations,Weekly,2026-07-20,Active,application_id;app_status;source_system
RPT-CLEAN-BASELINE,Standard Application Health Report,APP-037,Operational,None,IT Service Management,IT Operations,Weekly,2026-07-20,Active,application_id;app_status;source_system
RPT-CLEAN-BASELINE,Standard Application Health Report,APP-051,Operational,None,IT Service Management,IT Operations,Weekly,2026-07-20,Active,application_id;app_status;source_system
RPT-CLEAN-BASELINE,Standard Application Health Report,APP-081,Operational,None,IT Service Management,IT Operations,Weekly,2026-07-20,Active,application_id;app_status;source_system
RPT-CLEAN-BASELINE,Standard Application Health Report,APP-121,Operational,None,IT Service Management,IT Operations,Weekly,2026-07-20,Active,application_id;app_status;source_system
