regulation_code,regulation_name,description,data_category,country,authority,source_url
CCPA,California Consumer Privacy Act,Gives California residents rights over personal data collected by businesses; applies when personal data of CA residents is processed.,Personal Data,United States,California Attorney General,https://oag.ca.gov/privacy/ccpa
CPRA,California Privacy Rights Act,"Expands CCPA with a dedicated regulator (CPPA), a sensitive-data category, and stricter opt-out/minimization requirements.",Personal Data,United States,California Privacy Protection Agency,https://cppa.ca.gov
GLBA,Gramm-Leach-Bliley Act,Requires financial institutions to explain information-sharing practices and safeguard sensitive customer financial data.,Financial Data,United States,FTC / Federal Reserve,https://www.ftc.gov/business-guidance/privacy-security/gramm-leach-bliley-act
HIPAA,Health Insurance Portability and Accountability Act,Sets national standards for protecting sensitive patient health information from disclosure without consent.,Health Data,United States,HHS Office for Civil Rights,https://www.hhs.gov/hipaa
SOX,Sarbanes-Oxley Act,"Requires accurate financial reporting and internal controls for public companies; applies to systems feeding financial/audit reports.",Financial Data,United States,SEC / PCAOB,https://www.sec.gov/about/laws/soa2002.pdf
GDPR,General Data Protection Regulation,EU-wide regulation governing collection and processing of personal data of individuals in the EU/EEA.,Personal Data,European Union,European Data Protection Board,https://gdpr.eu
PDPA,Personal Data Protection Act,Governs collection use and disclosure of personal data by organizations in Singapore.,Personal Data,Singapore,Personal Data Protection Commission,https://www.pdpc.gov.sg
DPDP,Digital Personal Data Protection Act,India's law governing processing of digital personal data with consent and purpose-limitation requirements.,Personal Data,India,Ministry of Electronics and IT,https://www.meity.gov.in
POPIA,Protection of Personal Information Act,South Africa's data protection law regulating the processing of personal information by responsible parties.,Personal Data,South Africa,Information Regulator,https://popia.co.za
PIPEDA,Personal Information Protection and Electronic Documents Act,Canada's federal privacy law for personal information handled in the course of commercial activity.,Personal Data,Canada,Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca
RBI,RBI Master Direction on IT Governance & Cyber Security,"India's central bank framework requiring regulated entities to maintain IT governance, access controls, and cyber-resilience controls over systems handling financial data.",Financial Data,India,Reserve Bank of India,https://www.rbi.org.in
SEBI,SEBI Cybersecurity and Cyber Resilience Framework,Requires SEBI-regulated market entities to maintain cybersecurity controls and governance over systems supporting securities market operations.,Financial Data,India,Securities and Exchange Board of India,https://www.sebi.gov.in
